sample_id,age,cys_acid,cys,met,tyr
1.1.,1750,4.39,0.97,0,0
1.2.,1600,4.3,1.03,0,0
1.3.,1600,4.27,1.21,0.02,0.15
1.4.,1600,4.33,1.1,0.02,0.2
1.5.,1600,4.01,1.19,0.01,0.2
1.6.,1550,3.99,1.22,0.03,0.3
1.7.,1550,3.97,1.33,0.03,0.38
1.8.,1550,3.82,1.19,0.02,0.54
1.9.,1500,3.93,1.22,0.03,0.53
1.10.,1400,3.81,1.53,0.03,0.75
1.11.,1400,3.54,1.5,0.04,0.77
1.12.,1400,3.72,1.54,0.04,0.73
1.13.,1400,3.65,1.43,0.05,0.89
1.14.,1050,3.12,1.78,0.15,1.33
1.15.,550,1.87,3.12,0.21,2.11
1.16.,400,1.49,3.21,0.28,2.32
2.19.,400,1.53,3.43,0.27,2.29
2.20.,300,1.32,3.82,0.31,2.31
2.21.,250,1.21,3.79,0.29,2.43
2.22.,170,1.19,4.15,0.33,2.37
1.17.,140,1.22,4.24,0.38,2.85
2.23.,128,1.03,4.2,0.4,2.59
2.24.,120,0.88,5.19,0.39,2.83
1.18.,,1.92,3.24,0.24,1.99
2.25.,,1.44,3.91,0.34,2.38
